,Unnamed: 0.1,Unnamed: 0,type,question,answer,source,all_history,raw_response,belief,Committment_value,quality_rate,consistency_value,relevance_rate,manner_rate,outcome_value,outcome_reason,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
17,17,17,Q/A,"Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?",I knew there - nobody had to have the other evidence. I knew it myself.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
","{
    ""belief"": ""The witness's response shows a strong personal acknowledgment of their guilt, indicating that they are aware of the incriminating evidence. However, the statement lacks clarity and does not directly answer the question regarding whether they were informed about the evidence. The defense's question remains largely unaddressed."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1, 
    ""consistency_value"": 1,
    ""relevance_rate"": 2,
    ""manner_rate"": 3, 
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 2
}","The witness's response shows a strong personal acknowledgment of their guilt, indicating that they are aware of the incriminating evidence. However, the statement lacks clarity and does not directly answer the question regarding whether they were informed about the evidence. The defense's question remains largely unaddressed.",2,1,1,2,3,Witness,2.0,0,1,0,1.0,1.0,0.6000000000000001,1.0,0.6000000000000001,-1.9083741488219472,-1.0392754368732264,0.2948446505196623,-0.8690987119487208
18,18,18,Q/A,"Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?","I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
","```json
{
    ""belief"": ""The witness acknowledges their guilt but deflects the question regarding the presentation of specific incriminating evidence. This response is an admission of wrongdoing on their part, which may favor the defense's line of questioning about the witness's level of guilt. However, the witness attempts to downplay the weight of the guilt by emphasizing their review of conduct. This could be seen as a misalignment in the light of the question asked, where they were supposed to focus on specific evidence presented to them."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 2,
    ""manner_rate"": 2,
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 1
}
```","The witness acknowledges their guilt but deflects the question regarding the presentation of specific incriminating evidence. This response is an admission of wrongdoing on their part, which may favor the defense's line of questioning about the witness's level of guilt. However, the witness attempts to downplay the weight of the guilt by emphasizing their review of conduct. This could be seen as a misalignment in the light of the question asked, where they were supposed to focus on specific evidence presented to them.",2,1,0,2,2,Witness,1.0,0,0,0,1.0,1.0,0.0,2.0,0.6000000000000001,-1.3631243920156766,-1.0392754368732264,0.13480227198160788,-0.32384895514245016
19,19,19,Q/A,-cited there.,"They're cited here, yes. I wished that was all I did.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
","```json
{
    ""belief"": ""The witness displayed a level of commitment by acknowledging the cited items, yet the admission of guilt might lend more weight to the defense's argument. However, the witness's reflection on wishing their actions were different suggests remorse, which can be compelling in a plea context. Overall, the balance leans slightly toward the witness due to their admission and introspection, even if it creates potential weaknesses for their credibility."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 2,
    ""manner_rate"": 2,
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 3
}
```","The witness displayed a level of commitment by acknowledging the cited items, yet the admission of guilt might lend more weight to the defense's argument. However, the witness's reflection on wishing their actions were different suggests remorse, which can be compelling in a plea context. Overall, the balance leans slightly toward the witness due to their admission and introspection, even if it creates potential weaknesses for their credibility.",2,1,0,2,2,Witness,3.0,0,0,0,1.0,1.0,0.0,3.0,0.6000000000000001,-0.817874635209406,-1.0392754368732264,-0.1192153531327378,0.22140080166382048
20,20,20,Q/A,"So, back to my question, then. You're still in the mode of protecting yourself, aren't you?","I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
","```json
{
    ""belief"": ""The witness appears to show commitment to their perspective, indicating they have not been protecting themselves in the current context, which can be perceived as an honest admission. However, the defense's questioning aims to portray the witness as evasive or self-serving, which complicates the overall clarity of the response."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 2,
    ""manner_rate"": 2,
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 1
}
```","The witness appears to show commitment to their perspective, indicating they have not been protecting themselves in the current context, which can be perceived as an honest admission. However, the defense's questioning aims to portray the witness as evasive or self-serving, which complicates the overall clarity of the response.",2,1,0,2,2,Witness,1.0,0,0,0,1.0,1.0,0.0,4.0,0.6000000000000001,-0.2726248784031353,-1.0392754368732264,-0.5843817167683129,0.7666505584700911
21,21,21,Q/A,"What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?","The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
","```json
{
    ""belief"": ""In this turn, the witness attempts to answer the question regarding the value of their assistance and cooperation but does so in a way that is somewhat vague and does not directly address the asker's question. The witness's commitment level appears to lean slightly towards benefiting themselves by emphasizing the importance of full cooperation without directly answering whether they are protecting themselves. Thus, while the answer seems to reflect an effort for clarity about their cooperation, it lacks direct engagement with the inquiry posed. Overall, the defense maintains a stronger position in this exchange due to the witness's ambiguity regarding their statements."",
    ""Commitment_value"": 3,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 2,
    ""manner_rate"": 2,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","In this turn, the witness attempts to answer the question regarding the value of their assistance and cooperation but does so in a way that is somewhat vague and does not directly address the asker's question. The witness's commitment level appears to lean slightly towards benefiting themselves by emphasizing the importance of full cooperation without directly answering whether they are protecting themselves. Thus, while the answer seems to reflect an effort for clarity about their cooperation, it lacks direct engagement with the inquiry posed. Overall, the defense maintains a stronger position in this exchange due to the witness's ambiguity regarding their statements.",3,1,0,2,2,Questioner,1.0,0,0,0,0.6,0.5,0.0,4.5,0.6000000000000001,0.0,-1.0392754368732264,-1.0,1.0392754368732264
22,22,22,Q/A,Might it also include how helpful you were to the cause of the Government?,No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
","```json
{
    ""belief"": ""The witness's response appears defensive and does not engage with the defense's question about whether their cooperation was beneficial to the government. This suggests that the defense is more convincing in this turn."",
    ""Commitment_value"": 1,
    ""quality_rate"": 1,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 2,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 2
}
```",The witness's response appears defensive and does not engage with the defense's question about whether their cooperation was beneficial to the government. This suggests that the defense is more convincing in this turn.,1,1,1,1,2,Questioner,2.0,0,0,0,0.3333333333333333,0.0,1.9,4.5,2.5,0.0,0.02547243717826533,-1.0,-0.02547243717826533
23,23,23,Q/A,Are you sure of that?,"I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
","```json
{
    ""belief"": ""The witness is asserting a lack of certainty regarding their assistance to the Government, which weakens their position and credibility. However, this response lacks direct evidence or logic, making it seem defensive rather than constructive."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 2, 
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The witness is asserting a lack of certainty regarding their assistance to the Government, which weakens their position and credibility. However, this response lacks direct evidence or logic, making it seem defensive rather than constructive.",2,1,1,1,2,Questioner,1.0,0,0,0,0.14285714285714285,1.0,1.1,5.5,3.6,0.5452497568062706,0.641905416892287,-0.08141788220059525,-0.09665566008601634
24,24,24,Q/A,"And at the time you pled guilty, how old were your three children?",Two of them. . .,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
","```json
{
    ""belief"": ""The witness's response does not directly answer the question about the ages of their children and feels evasive, which may benefit the defense's arguments regarding the witness's state of mind at the time they pled guilty. However, this also indicates a lack of full engagement with the question asked."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 3,
    ""manner_rate"": 4,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The witness's response does not directly answer the question about the ages of their children and feels evasive, which may benefit the defense's arguments regarding the witness's state of mind at the time they pled guilty. However, this also indicates a lack of full engagement with the question asked.",4,1,0,3,4,Questioner,1.0,1,1,0,0.0,0.0,0.5,5.5,4.1,0.5452497568062706,0.9221022258532056,-0.25682486104248503,-0.3768524690469349
28,28,28,Q/A,"Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?",No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
","```json
{
    ""belief"": ""The witness maintains his position firmly, asserting a lack of fear related to the Government's control, which reflects confidence. This possibly undermines the defense's attempt to portray him as fearful or coerced, suggesting a stronger performance from the witness in the immediate exchange."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 1,
    ""manner_rate"": 1,
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 1
}
```","The witness maintains his position firmly, asserting a lack of fear related to the Government's control, which reflects confidence. This possibly undermines the defense's attempt to portray him as fearful or coerced, suggesting a stronger performance from the witness in the immediate exchange.",4,1,0,1,1,Witness,1.0,0,0,0,0.1111111111111111,0.0,0.5,5.5,4.6,0.5452497568062706,1.2022990348141245,-0.3759833666209756,-0.6570492780078538
29,29,29,Q/A,You have no fear at all?,"I'm past that....If I can answer your earlier question, my children, two are in college and one in high school.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
P_WITNESS: No.

DEFENSE: You have no fear at all?
","```json
{
    ""belief"": ""The witness demonstrates a commitment to answering the question about his children's current educational status, which is a straightforward response. There is no indication of deception, and the information provided is consistent with the witness's overall narrative. The answer is relevant and clearly articulated."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 1,
    ""manner_rate"": 1,
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": 1
}
```","The witness demonstrates a commitment to answering the question about his children's current educational status, which is a straightforward response. There is no indication of deception, and the information provided is consistent with the witness's overall narrative. The answer is relevant and clearly articulated.",2,1,0,1,1,Witness,1.0,0,0,0,0.2,1.0,0.0,6.5,4.6,1.0904995136125413,1.2022990348141245,-0.04876116189025888,-0.11179952120158321
